"","player","season.x","DRAYMOND","X_id","salary","season.y","season_end","season_start","team","career_AST","career_FG%","career_PTS","position"
"327","Maurice Harkless","2018",1.172922,"harklma01",10162922,"2017-18",2018,2017,"Portland Trail Blazers",0.9,"47.6",7.3,"Small Forward"
"328","Maxi Kleber","2018",-1.097707,"klebima01",815615,"2017-18",2018,2017,"Dallas Mavericks",0.8,"46.9",6.1,"Power Forward"
"329","Meyers Leonard","2018",-2.85392,"leoname01",9904495,"2017-18",2018,2017,"Portland Trail Blazers",0.9,"47.9",5.6,"Power Forward and Center"
"330","Michael Beasley","2018",-0.6878642,"beaslmi01",1471382,"2017-18",2018,2017,"New York Knicks",1.3,"46.5",12.4,"Power Forward and Small Forward"
"331","Michael Carter-Williams","2018",-0.3013766,"cartemi01",2700000,"2017-18",2018,2017,"Charlotte Hornets",4.6,"40.1",10.9,"Point Guard"
"332","Michael Kidd-Gilchrist","2018",0.4785743,"kiddgmi01",1.3e+07,"2017-18",2018,2017,"Charlotte Hornets",1.2,"47.7",8.8,"Small Forward and Power Forward"
"333","Mike Conley","2018",2.416815,"conlemi01",28530608,"2017-18",2018,2017,"Memphis Grizzlies",5.7,"44.1",14.9,"Point Guard"
"334","Mike Muscala","2018",0.0602083,"muscami01",5e+06,"2017-18",2018,2017,"Atlanta Hawks",0.9,"46.8",5.7,"Power Forward and Center"
"335","Mike Scott","2018",-0.3615033,"scottmi01",1471382,"2017-18",2018,2017,"Washington Wizards",0.9,"46.4",7.1,"Power Forward"
"336","Miles Plumlee","2018",1.275791,"plumlmi01",12500000,"2017-18",2018,2017,"Atlanta Hawks",0.5,"54.2",4.9,"Center"
"337","Milos Teodosic","2018",-1.948457,"teodomi01",6e+06,"2017-18",2018,2017,"Los Angeles Clippers",4,"42.0",8,"Point Guard"
"338","Mindaugas Kuzminskas","2018",-2.493646,"kuzmimi01",3025035,"2017-18",2018,2017,"New York Knicks",1,"42.6",6.2,"Small Forward"
"339","Mirza Teletovic","2018",-0.0136337,"teletmi01",10500000,"2017-18",2018,2017,"Milwaukee Bucks",0.8,"40.6",8.1,"Small Forward and Power Forward"
"340","Montrezl Harrell","2018",0.8819256,"harremo01",1471382,"2017-18",2018,2017,"Los Angeles Clippers",1.2,"62.9",11.2,"Power Forward and Center"
"341","Myles Turner","2018",0.9450559,"turnemy01",2569920,"2017-18",2018,2017,"Indiana Pacers",1.2,"49.5",12.9,"Center"
"342","Nemanja Bjelica","2018",0.9088361,"bjeline01",3949999,"2017-18",2018,2017,"Minnesota Timberwolves",1.5,"46.0",7.1,"Power Forward"
"343","Nene","2018",1.873647,"hilarne01",3477600,"2017-18",2018,2017,"Houston Rockets",1.8,"54.8",11.3,"Power Forward and Center"
"344","Nerlens Noel","2018",0.1241443,"noelne01",4187599,"2017-18",2018,2017,"Dallas Mavericks",1.2,"52.3",8.2,"Power Forward and Center"
"345","Nick Collison","2018",-0.4083085,"collini01",2328652,"2017-18",2018,2017,"Oklahoma City Thunder",1,"53.4",5.9,"Power Forward and Center"
"346","Nick Young","2018",-1.22327,"youngni01",5192000,"2017-18",2018,2017,"Golden State Warriors",1,"41.8",11.4,"Shooting Guard"
"347","Nicolas Batum","2018",-1.377146,"batumni01",22434783,"2017-18",2018,2017,"Charlotte Hornets",3.8,"43.5",11.8,"Small Forward and Shooting Guard"
"348","Nicolas Brussino","2018",4.958299,"brussni01",905249,"2017-18",2018,2017,"Atlanta Hawks",0.8,"36.4",2.6,"Small Forward and Shooting Guard"
"349","Nigel Hayes","2018",2.448363,"hayesni01",50000,"2017-18",2018,2017,"New York Knicks",0.7,"33.3",3,"Small Forward"
"350","Nigel Hayes","2018",2.448363,"hayesni01",46080,"2017-18",2018,2017,"Los Angeles Lakers",0.7,"33.3",3,"Small Forward"
"351","Nigel Hayes","2018",2.448363,"hayesni01",55296,"2017-18",2018,2017,"Sacramento Kings",0.7,"33.3",3,"Small Forward"
"352","Nigel Hayes","2018",2.448363,"hayesni01",92160,"2017-18",2018,2017,"Toronto Raptors",0.7,"33.3",3,"Small Forward"
"353","Nik Stauskas","2018",1.206937,"stausni01",3807147,"2017-18",2018,2017,"Brooklyn Nets",1.5,"38.9",6.8,"Shooting Guard"
"354","Nikola Jokic","2018",-1.756373,"jokicni01",1471382,"2017-18",2018,2017,"Denver Nuggets",5.1,"52.3",16.3,"Center"
"355","Nikola Mirotic","2018",0.3508805,"mirotni01",12500000,"2017-18",2018,2017,"New Orleans Pelicans",1.3,"42.3",12.3,"Power Forward"
"356","Nikola Vucevic","2018",-1.014983,"vucevni01",12250000,"2017-18",2018,2017,"Orlando Magic",2.4,"50.2",15.7,"Center"
"357","Noah Vonleh","2018",-0.1632739,"vonleno01",3505233,"2017-18",2018,2017,"Chicago Bulls",0.8,"45.3",5.1,"Power Forward"
"358","Norman Powell","2018",-0.6844642,"powelno01",1471382,"2017-18",2018,2017,"Toronto Raptors",1.2,"44.2",7.1,"Shooting Guard"
"359","OG Anunoby","2018",0.0624123,"anunoog01",1645200,"2017-18",2018,2017,"Toronto Raptors",0.7,"46.1",6.4,"Small Forward"
"360","Okaro White","2018",0.0084546,"whiteok01",1312611,"2017-18",2018,2017,"Atlanta Hawks",0.5,"38.1",2.7,"Power Forward"
"361","Okaro White","2018",0.0084546,"whiteok01",111238,"2017-18",2018,2017,"Cleveland Cavaliers",0.5,"38.1",2.7,"Power Forward"
"362","Omari Johnson","2018",-5.99612,"johnsom01",27648,"2017-18",2018,2017,"Memphis Grizzlies",1.8,"42.9",5.5,"Power Forward"
"363","Omer Asik","2018",2.234809,"asikom01",10595505,"2017-18",2018,2017,"Chicago Bulls",0.6,"52.8",5.3,"Center"
"364","Omri Casspi","2018",1.569746,"casspom01",1471382,"2017-18",2018,2017,"Golden State Warriors",1.1,"45.4",7.9,"Small Forward and Power Forward"
"365","Pascal Siakam","2018",0.2065345,"siakapa01",1312611,"2017-18",2018,2017,"Toronto Raptors",2,"53.1",10.1,"Power Forward"
"366","Pat Connaughton","2018",2.262101,"connapa01",1471382,"2017-18",2018,2017,"Portland Trail Blazers",1.2,"43.9",4.6,"Shooting Guard"
"367","Patrick Beverley","2018",-2.872156,"beverpa01",5513514,"2017-18",2018,2017,"Los Angeles Clippers",3.5,"41.2",9,"Point Guard and Shooting Guard"
"368","Patrick McCaw","2018",-0.5795723,"mccawpa01",1312611,"2017-18",2018,2017,"Golden State Warriors",1.2,"42.0",3.7,"Shooting Guard"
"369","Patrick Patterson","2018",-0.3975873,"pattepa01",5192000,"2017-18",2018,2017,"Oklahoma City Thunder",1.1,"45.0",6.9,"Power Forward"
"370","Patty Mills","2018",-0.8687855,"millspa02",10714286,"2017-18",2018,2017,"San Antonio Spurs",2.4,"43.1",8.4,"Point Guard"
"371","Pau Gasol","2018",1.551924,"gasolpa01",1.6e+07,"2017-18",2018,2017,"San Antonio Spurs",3.2,"50.7",17,"Center and Power Forward"
"372","Paul George","2018",-1.223345,"georgpa01",19508958,"2017-18",2018,2017,"Oklahoma City Thunder",3.3,"43.3",19.8,"Small Forward and Shooting Guard"
"373","Paul Millsap","2018",2.443565,"millspa01",31269231,"2017-18",2018,2017,"Denver Nuggets",2.3,"49.1",14.1,"Power Forward"
"374","Paul Zipser","2018",-1.71735,"zipsepa01",1312611,"2017-18",2018,2017,"Chicago Bulls",0.8,"37.1",4.7,"Small Forward"
"375","Quincy Acy","2018",-0.3730273,"acyqu01",1709538,"2017-18",2018,2017,"Brooklyn Nets",0.6,"44.4",4.9,"Power Forward and Small Forward"
"376","Quincy Pondexter","2018",-0.8676143,"pondequ01",3853931,"2017-18",2018,2017,"Chicago Bulls",0.7,"42.3",4.5,"Small Forward and Shooting Guard"
"377","Rajon Rondo","2018",-1.792897,"rondora01",3300000,"2017-18",2018,2017,"New Orleans Pelicans",8.5,"46.0",10.4,"Point Guard"
"378","Rajon Rondo","2018",-1.792897,"rondora01",3e+06,"2017-18",2018,2017,"Chicago Bulls",8.5,"46.0",10.4,"Point Guard"
"379","Ramon Sessions","2018",-0.4508174,"sessira01",390706,"2017-18",2018,2017,"Washington Wizards",4.1,"43.4",10.3,"Point Guard and Shooting Guard"
"380","Ramon Sessions","2018",-0.4508174,"sessira01",1471382,"2017-18",2018,2017,"New York Knicks",4.1,"43.4",10.3,"Point Guard and Shooting Guard"
"381","Rashad Vaughn","2018",2.149994,"vaughra01",166258,"2017-18",2018,2017,"Orlando Magic",0.5,"33.7",3,"Shooting Guard"
"382","Rashad Vaughn","2018",2.149994,"vaughra01",1889040,"2017-18",2018,2017,"New Orleans Pelicans",0.5,"33.7",3,"Shooting Guard"
"383","Raul Neto","2018",3.326163,"netora01",1471382,"2017-18",2018,2017,"Utah Jazz",1.9,"44.3",4.8,"Point Guard"
"384","Raymond Felton","2018",0.6830324,"feltora01",1471382,"2017-18",2018,2017,"Oklahoma City Thunder",5.2,"41.2",11.2,"Point Guard and Shooting Guard"
"385","Reggie Bullock","2018",-0.3557477,"bullore01",2500000,"2017-18",2018,2017,"Detroit Pistons",1.1,"43.4",6.8,"Shooting Guard and Small Forward"
"386","Reggie Jackson","2018",-0.7503935,"jacksre01",1.6e+07,"2017-18",2018,2017,"Detroit Pistons",4.4,"42.9",12.9,"Point Guard"
"387","Richard Jefferson","2018",-3.461446,"jefferi01",1454756,"2017-18",2018,2017,"Denver Nuggets",2,"46.4",12.6,"Small Forward"
"388","Richard Jefferson","2018",-3.461446,"jefferi01",2500000,"2017-18",2018,2017,"Atlanta Hawks",2,"46.4",12.6,"Small Forward"
"389","Richaun Holmes","2018",0.7384267,"holmeri01",1471382,"2017-18",2018,2017,"Philadelphia 76ers",0.9,"56.5",7.7,"Center and Power Forward"
"390","Ricky Rubio","2018",-1.266144,"rubiori01",14275000,"2017-18",2018,2017,"Utah Jazz",7.7,"38.8",11.1,"Point Guard"
"391","Robert Covington","2018",-0.4108775,"covinro01",16698103,"2017-18",2018,2017,"Philadelphia 76ers",1.6,"40.2",12.7,"Small Forward"
"392","Robin Lopez","2018",0.4986808,"lopezro01",13788500,"2017-18",2018,2017,"Chicago Bulls",0.8,"53.1",9.1,"Center"
"393","Rodney Hood","2018",-2.084581,"hoodro01",2386864,"2017-18",2018,2017,"Cleveland Cavaliers",1.9,"42.2",12.6,"Shooting Guard"
"394","Rodney McGruder","2018",-1.482651,"mcgruro01",1312611,"2017-18",2018,2017,"Miami Heat",1.6,"41.4",6.7,"Shooting Guard"
"395","Rodney Purvis","2018",1.509552,"purviro01",161280,"2017-18",2018,2017,"Orlando Magic",1.1,"32.7",6,"Shooting Guard"
"396","Ron Baker","2018",0.061465,"bakerro01",4328000,"2017-18",2018,2017,"New York Knicks",1.8,"35.8",3.1,"Shooting Guard"
"397","Rondae Hollis-Jefferson","2018",-0.1351819,"holliro01",1471382,"2017-18",2018,2017,"Brooklyn Nets",2,"44.4",9.9,"Small Forward"
"398","Royce O'Neale","2018",1.120102,"onealro01",815615,"2017-18",2018,2017,"Utah Jazz",1.5,"45.1",5.1,"Small Forward"
"399","Rudy Gay","2018",1.162448,"gayru01",8406000,"2017-18",2018,2017,"San Antonio Spurs",2.2,"45.6",17.6,"Power Forward and Small Forward"
"400","Rudy Gobert","2018",2.174937,"goberru01",21974719,"2017-18",2018,2017,"Utah Jazz",1.3,"62.9",11.1,"Center"
"401","Russell Westbrook","2018",-0.5728385,"westbru01",28530608,"2017-18",2018,2017,"Oklahoma City Thunder",8.4,"43.4",23,"Point Guard"
"402","Ryan Anderson","2018",0.2810977,"anderry01",19578455,"2017-18",2018,2017,"Houston Rockets",0.9,"42.2",12.4,"Power Forward"
"403","Salah Mejri","2018",1.405898,"mejrisa01",1471382,"2017-18",2018,2017,"Dallas Mavericks",0.5,"60.3",3.4,"Center"
"404","Sam Dekker","2018",-0.2548563,"dekkesa01",1794600,"2017-18",2018,2017,"Los Angeles Clippers",0.8,"47.8",5.5,"Power Forward"
"405","Scotty Hopson","2018",3.88474,"hopsosc01",74159,"2017-18",2018,2017,"Dallas Mavericks",0.7,"0.0",0.7,"Shooting Guard"
"406","Sean Kilpatrick","2018",-2.934147,"kilpase01",166258,"2017-18",2018,2017,"Los Angeles Clippers",1.5,"41.3",10.3,"Shooting Guard"
"407","Sean Kilpatrick","2018",-2.934147,"kilpase01",789725,"2017-18",2018,2017,"Milwaukee Bucks",1.5,"41.3",10.3,"Shooting Guard"
"408","Sean Kilpatrick","2018",-2.934147,"kilpase01",1524305,"2017-18",2018,2017,"Brooklyn Nets",1.5,"41.3",10.3,"Shooting Guard"
"409","Sean Kilpatrick","2018",-2.934147,"kilpase01",2163006,"2017-18",2018,2017,"Chicago Bulls",1.5,"41.3",10.3,"Shooting Guard"
"410","Semi Ojeleye","2018",0.4333336,"ojelese01",1291892,"2017-18",2018,2017,"Boston Celtics",0.3,"38.2",3,"Power Forward"
"411","Serge Ibaka","2018",-0.1452635,"ibakase01",20061729,"2017-18",2018,2017,"Toronto Raptors",0.7,"51.4",12.3,"Power Forward and Center"
"412","Shabazz Muhammad","2018",-1.648578,"muhamsh01",324203,"2017-18",2018,2017,"Milwaukee Bucks",0.5,"47.3",9,"Small Forward and Shooting Guard"
"413","Shabazz Muhammad","2018",-1.648578,"muhamsh01",1238616,"2017-18",2018,2017,"Minnesota Timberwolves",0.5,"47.3",9,"Small Forward and Shooting Guard"
"414","Shabazz Napier","2018",0.3535013,"napiesh01",2361360,"2017-18",2018,2017,"Portland Trail Blazers",2,"39.3",6.4,"Point Guard"
"415","Shane Larkin","2018",-1.423487,"larkish01",1471382,"2017-18",2018,2017,"Boston Celtics",2.9,"42.2",5.5,"Point Guard"
"416","Shaquille Harrison","2018",1.557239,"harrish01",267160,"2017-18",2018,2017,"Phoenix Suns",2,"44.2",6.5,"Point Guard"
"417","Shaun Livingston","2018",-0.1144816,"livinsh01",7692308,"2017-18",2018,2017,"Golden State Warriors",3,"48.6",6.3,"Shooting Guard and Point Guard"
"418","Shelvin Mack","2018",-1.867653,"macksh01",6e+06,"2017-18",2018,2017,"Orlando Magic",3.1,"42.3",6.6,"Shooting Guard and Point Guard"
"419","Sindarius Thornwell","2018",0.6476371,"thornsi01",815615,"2017-18",2018,2017,"Los Angeles Clippers",0.6,"41.5",2.5,"Shooting Guard"
"420","Skal Labissiere","2018",-0.0726948,"labissk01",1312611,"2017-18",2018,2017,"Sacramento Kings",1,"48.0",7.6,"Power Forward"
"421","Solomon Hill","2018",-1.831623,"hillso01",12236535,"2017-18",2018,2017,"New Orleans Pelicans",1.5,"39.5",5.9,"Small Forward"
"422","Spencer Dinwiddie","2018",0.1485524,"dinwisp01",1524305,"2017-18",2018,2017,"Brooklyn Nets",4.5,"40.8",11,"Point Guard"
"423","Stanley Johnson","2018",-0.1080995,"johnsst04",3097800,"2017-18",2018,2017,"Detroit Pistons",1.5,"37.4",7,"Small Forward"
"424","Stephen Curry","2018",-0.4793334,"curryst01",34682550,"2017-18",2018,2017,"Golden State Warriors",6.6,"47.7",23.5,"Point Guard"
"425","Sterling Brown","2018",-1.225191,"brownst02",815615,"2017-18",2018,2017,"Milwaukee Bucks",1,"43.9",5.3,"Shooting Guard"
"426","Steven Adams","2018",1.208081,"adamsst01",22471910,"2017-18",2018,2017,"Oklahoma City Thunder",1,"58.8",9.7,"Center"
"427","T.J. McConnell","2018",1.577088,"mccontj01",1471382,"2017-18",2018,2017,"Philadelphia 76ers",4.7,"48.7",6.4,"Point Guard"
"428","T.J. Warren","2018",0.0647411,"warretj01",3152931,"2017-18",2018,2017,"Phoenix Suns",1.1,"49.7",14.4,"Small Forward"
"429","Taj Gibson","2018",-0.1510231,"gibsota01",1.4e+07,"2017-18",2018,2017,"Minnesota Timberwolves",1,"51.2",9.8,"Power Forward"
"430","Tarik Black","2018",2.218146,"blackta01",3290000,"2017-18",2018,2017,"Houston Rockets",0.5,"55.0",4.9,"Center"
"431","Taurean Prince","2018",-0.4015887,"princta02",2422560,"2017-18",2018,2017,"Atlanta Hawks",2,"42.7",11.4,"Small Forward"
"432","Terrance Ferguson","2018",-0.0324401,"fergute01",1785000,"2017-18",2018,2017,"Oklahoma City Thunder",0.7,"42.5",5.2,"Shooting Guard"
"433","Terrence Ross","2018",1.539975,"rosste01",10500000,"2017-18",2018,2017,"Orlando Magic",1.1,"42.3",10.5,"Small Forward and Shooting Guard"
"434","Terry Rozier","2018",0.5626435,"roziete01",1988520,"2017-18",2018,2017,"Boston Celtics",2.3,"38.0",7.7,"Point Guard"
"435","Thabo Sefolosha","2018",-0.1230812,"sefolth01",5250000,"2017-18",2018,2017,"Utah Jazz",1.4,"45.0",5.9,"Small Forward and Shooting Guard"
"436","Thaddeus Young","2018",0.5140552,"youngth01",14796348,"2017-18",2018,2017,"Indiana Pacers",1.7,"50.1",13.4,"Power Forward"
"437","Thomas Bryant","2018",-4.072073,"bryanth01",815615,"2017-18",2018,2017,"Los Angeles Lakers",1.1,"60.6",9,"Center"
"438","Thon Maker","2018",-0.2436213,"makerth01",2684160,"2017-18",2018,2017,"Milwaukee Bucks",0.6,"42.1",4.6,"Center and Power Forward"
"439","Tim Frazier","2018",-2.149257,"fraziti01",2e+06,"2017-18",2018,2017,"Washington Wizards",4.1,"41.2",5.2,"Point Guard"
"440","Tim Hardaway Jr.","2018",-0.173908,"hardati02",16500000,"2017-18",2018,2017,"New York Knicks",1.8,"41.8",13.1,"Shooting Guard"
"441","Tim Quarterman","2018",-3.433043,"quartti01",96406,"2017-18",2018,2017,"Houston Rockets",0.6,"43.8",1.8,"Shooting Guard"
"442","Timofey Mozgov","2018",1.330099,"mozgoti01",15280000,"2017-18",2018,2017,"Brooklyn Nets",0.6,"53.5",6.8,"Center"
"443","Timothe Luwawu-Cabarrot","2018",0.367305,"luwawti01",1386600,"2017-18",2018,2017,"Philadelphia 76ers",0.9,"38.7",5.7,"Small Forward"
"444","Tobias Harris","2018",-0.1615683,"harrito02",1.6e+07,"2017-18",2018,2017,"Los Angeles Clippers",1.9,"47.1",15.4,"Power Forward and Small Forward"
"445","Tomas Satoransky","2018",0.5930712,"satorto01",3e+06,"2017-18",2018,2017,"Washington Wizards",3.7,"48.9",6.6,"Shooting Guard and Point Guard"
"446","Tony Allen","2018",-0.6301055,"allento01",1471382,"2017-18",2018,2017,"Chicago Bulls",1.3,"47.5",8.1,"Shooting Guard and Small Forward and Point Guard"
"447","Tony Bradley","2018",-6.368362,"bradlto01",1414920,"2017-18",2018,2017,"Utah Jazz",0.2,"40.7",2.1,"Center"
"448","Tony Parker","2018",-1.136791,"parketo01",15453126,"2017-18",2018,2017,"San Antonio Spurs",5.6,"49.1",15.5,"Point Guard"
"449","Tony Snell","2018",-1.110257,"snellto01",9821429,"2017-18",2018,2017,"Milwaukee Bucks",1,"42.5",6.2,"Shooting Guard and Small Forward"
"450","Travis Wear","2018",3.336361,"weartr01",296636,"2017-18",2018,2017,"Los Angeles Lakers",0.7,"38.8",4,"Small Forward"
"451","Treveon Graham","2018",-0.3128412,"grahatr01",1312611,"2017-18",2018,2017,"Charlotte Hornets",0.8,"39.6",4.1,"Shooting Guard"
"452","Trevor Ariza","2018",-1.197811,"arizatr01",7420912,"2017-18",2018,2017,"Houston Rockets",2.2,"42.2",10.7,"Small Forward and Shooting Guard"
"453","Trevor Booker","2018",0.7200575,"booketr01",8725000,"2017-18",2018,2017,"Philadelphia 76ers",1.1,"51.5",6.9,"Power Forward"
"454","Trevor Booker","2018",0.7200575,"booketr01",332516,"2017-18",2018,2017,"Indiana Pacers",1.1,"51.5",6.9,"Power Forward"
"455","Trey Burke","2018",0.8037031,"burketr01",784160,"2017-18",2018,2017,"New York Knicks",3.6,"40.8",10.9,"Point Guard"
"456","Trey Lyles","2018",0.7216117,"lylestr01",2441400,"2017-18",2018,2017,"Denver Nuggets",1.1,"43.1",7.6,"Power Forward"
"457","Trey McKinney-Jones","2018",-2.493646,"mckintr01",46080,"2017-18",2018,2017,"Indiana Pacers",0,"-",0,"Shooting Guard"
"458","Tristan Thompson","2018",-0.819589,"thomptr01",16400000,"2017-18",2018,2017,"Cleveland Cavaliers",0.9,"51.9",9.2,"Power Forward and Center"
"459","Troy Daniels","2018",-1.158183,"danietr01",3408520,"2017-18",2018,2017,"Phoenix Suns",0.6,"40.2",7,"Shooting Guard"
"460","Troy Williams","2018",0.6359671,"willitr02",1471382,"2017-18",2018,2017,"Houston Rockets",0.7,"44.9",6,"Small Forward"
"461","Troy Williams","2018",0.6359671,"willitr02",370794,"2017-18",2018,2017,"New York Knicks",0.7,"44.9",6,"Small Forward"
"462","Ty Lawson","2018",1.438994,"lawsoty01",8313,"2017-18",2018,2017,"Washington Wizards",6,"46.0",12.7,"Point Guard"
"463","Tyler Cavanaugh","2018",-3.310251,"cavanty01",729919,"2017-18",2018,2017,"Atlanta Hawks",0.6,"43.2",3.8,"Power Forward"
"464","Tyler Dorsey","2018",-1.09302,"dorsety01",815615,"2017-18",2018,2017,"Atlanta Hawks",1.3,"38.9",6.7,"Shooting Guard"
"465","Tyler Ennis","2018",0.7595849,"ennisty01",1524305,"2017-18",2018,2017,"Los Angeles Lakers",1.9,"41.9",4.2,"Point Guard"
"466","Tyler Johnson","2018",-0.1683864,"johnsty01",5881260,"2017-18",2018,2017,"Miami Heat",2.5,"43.3",11,"Shooting Guard and Point Guard"
"467","Tyler Lydon","2018",-8.817991,"lydonty01",1579440,"2017-18",2018,2017,"Denver Nuggets",0.2,"50.0",0.9,"Power Forward"
"468","Tyler Ulis","2018",-0.9642695,"ulisty01",1312611,"2017-18",2018,2017,"Phoenix Suns",4,"40.3",7.5,"Point Guard"
"469","Tyler Zeller","2018",0.3752704,"zellety01",1709538,"2017-18",2018,2017,"Milwaukee Bucks",0.9,"50.9",7,"Center"
"470","Tyreke Evans","2018",0.3296089,"evansty01",3290000,"2017-18",2018,2017,"Memphis Grizzlies",4.8,"44.0",15.7,"Small Forward and Shooting Guard and Point Guard"
"471","Tyson Chandler","2018",-0.1036723,"chandty01",1.3e+07,"2017-18",2018,2017,"Phoenix Suns",0.8,"59.6",8.4,"Center and Power Forward"
"472","Tyus Jones","2018",-0.9094095,"jonesty01",1471382,"2017-18",2018,2017,"Minnesota Timberwolves",3.3,"41.9",5.1,"Point Guard"
"473","Udonis Haslem","2018",5.152207,"hasleud01",1471382,"2017-18",2018,2017,"Miami Heat",0.9,"49.0",7.6,"Power Forward and Center"
"474","Victor Oladipo","2018",0.0997797,"oladivi01",2.1e+07,"2017-18",2018,2017,"Indiana Pacers",4,"44.3",17.5,"Shooting Guard and Point Guard"
"475","Vince Carter","2018",-0.0829051,"cartevi01",8e+06,"2017-18",2018,2017,"Sacramento Kings",3.2,"43.7",17.2,"Small Forward and Shooting Guard"
"476","Wayne Ellington","2018",-0.868885,"ellinwa01",6270000,"2017-18",2018,2017,"Miami Heat",1.1,"41.0",8.2,"Shooting Guard"
"477","Wayne Selden","2018",0.1637874,"seldewa01",1312611,"2017-18",2018,2017,"Memphis Grizzlies",1.5,"41.6",7.3,"Shooting Guard"
"478","Wesley Johnson","2018",-0.0610981,"johnswe01",5881260,"2017-18",2018,2017,"Los Angeles Clippers",1.1,"40.4",7,"Shooting Guard and Small Forward"
"479","Wesley Matthews","2018",-0.054306,"matthwe02",17884176,"2017-18",2018,2017,"Dallas Mavericks",2.2,"42.5",13.7,"Small Forward and Shooting Guard"
"480","Will Barton","2018",-1.133164,"bartowi01",3533333,"2017-18",2018,2017,"Denver Nuggets",2.4,"43.1",10.5,"Shooting Guard"
"481","Willie Cauley-Stein","2018",0.1591117,"caulewi01",3704160,"2017-18",2018,2017,"Sacramento Kings",1.6,"53.4",10.1,"Center"
"482","Willie Reed","2018",2.306212,"reedwi02",1471382,"2017-18",2018,2017,"Chicago Bulls",0.3,"59.2",4.9,"Center"
"483","Willy Hernangomez","2018",-0.752775,"hernawi01",1435750,"2017-18",2018,2017,"Charlotte Hornets",1.1,"53.0",7,"Center"
"484","Wilson Chandler","2018",0.7650917,"chandwi01",12016854,"2017-18",2018,2017,"Denver Nuggets",1.8,"44.4",12.9,"Shooting Guard and Small Forward and Power Forward"
"485","Xavier Rathan-Mayes","2018",-3.342604,"rathaxa01",46080,"2017-18",2018,2017,"Memphis Grizzlies",3.6,"28.6",5.8,"Shooting Guard"
"486","Xavier Silas","2018",9.830282,"silasxa01",74159,"2017-18",2018,2017,"Boston Celtics",0.8,"22.2",2.8,"Shooting Guard"
"487","Yogi Ferrell","2018",-1.85968,"ferreyo01",1312611,"2017-18",2018,2017,"Dallas Mavericks",2.6,"42.3",8.6,"Shooting Guard and Point Guard"
"488","Zach Collins","2018",0.6808689,"colliza01",3057240,"2017-18",2018,2017,"Portland Trail Blazers",0.9,"44.1",5.6,"Center"
"489","Zach LaVine","2018",-0.4291768,"lavinza01",3202217,"2017-18",2018,2017,"Chicago Bulls",3.5,"44.6",16.1,"Point Guard and Shooting Guard"
"490","Zach Randolph","2018",-2.473518,"randoza01",12307692,"2017-18",2018,2017,"Sacramento Kings",1.8,"47.1",16.6,"Power Forward and Center"
"491","Zaza Pachulia","2018",-0.5906982,"pachuza01",3477600,"2017-18",2018,2017,"Golden State Warriors",1.3,"46.9",6.8,"Center"
"492","Zhou Qi","2018",2.325245,"qizh01",815615,"2017-18",2018,2017,"Houston Rockets",0.1,"21.2",1.3,"Power Forward and Center"
